x_m,y_m,can_overtake
0.0424231,0.3498692,false
-0.1518672,0.3860072,true
-0.3319068,0.4646555,true
-0.5075048,0.5608960,true
-0.6764039,0.6653160,true
-0.8414752,0.7755422,true
-1.0040572,0.8901469,true
-1.1645515,1.0080171,true
-1.3226732,1.1280505,true
-1.4790395,1.2501169,true
-1.6342071,1.3742109,true
-1.7882844,1.5000107,true
-1.9413572,1.6271342,true
-2.0935306,1.7551446,true
-2.2450734,1.8836628,true
-2.3965823,2.0125027,true
-2.5482833,2.1410981,true
-2.7004566,2.2687488,true
-2.8535094,2.3950197,true
-3.0078937,2.5202927,true
-3.1629278,2.6447047,true
-3.3182360,2.7686505,true
-3.4735057,2.8925557,true
-3.6284201,3.0168663,true
-3.7826378,3.1420065,true
-3.9358216,3.2684076,true
-4.0877479,3.3965961,true
-4.2378848,3.5268332,true
-4.3858549,3.6594929,true
-4.5312653,3.7949212,true
-4.6737106,3.9334326,true
-4.8127615,4.0753195,true
-4.9479984,4.2208181,true
-5.0789939,4.3701253,true
-5.2051864,4.5235081,true
-5.3259019,4.6812505,true
-5.4404481,4.8435620,true
-5.5481038,5.0105236,true
-5.6484779,5.1819364,true
-5.7418270,5.3572887,true
-5.8284572,5.5360663,true
-5.9086275,5.7178470,true
-5.9825520,5.9022736,true
-6.0503856,6.0890415,true
-6.1122258,6.2778899,true
-6.1681125,6.4685889,true
-6.2180333,6.6609307,true
-6.2619279,6.8547217,true
-6.2996899,7.0497762,true
-6.3311694,7.2459114,true
-6.3561844,7.4430154,true
-6.3745012,7.6409180,true
-6.3858441,7.8393462,true
-6.3899162,8.0380523,true
-6.3864010,8.2367554,true
-6.3749767,8.4351341,true
-6.3553392,8.6328177,true
-6.3272444,8.8293774,true
-6.2905361,9.0245418,true
-6.2451445,9.2184725,true
-6.1916129,9.4102414,true
-6.1310520,9.5993162,true
-6.0650111,9.7863671,true
-5.9958593,9.9728627,true
-5.9275792,10.1591385,true
-5.8607753,10.3453377,true
-5.7795058,10.5263495,false
-5.6550109,10.6797206,false
-5.4838023,10.7788282,false
-5.2883969,10.8067041,false
-5.0948574,10.7648411,false
-4.9181139,10.6761616,false
-4.7597025,10.5566129,false
-4.6190756,10.4158765,false
-4.4896031,10.2646299,false
-4.3634339,10.1112980,false
-4.2381317,9.9572570,false
-4.1129565,9.8029793,false
-3.9875629,9.6487593,false
-3.8617543,9.4947627,false
-3.7356302,9.3413439,false
-3.6090746,9.1884850,false
-3.4819232,9.0360289,false
-3.3541537,8.8839493,false
-3.2257643,8.7322279,false
-3.0967765,8.5808529,false
-2.9672363,8.4298178,false
-2.8375214,8.2794836,false
-2.7074004,8.1294928,false
-2.5768167,7.9796887,false
-2.4458598,7.8300789,false
-2.3146308,7.6806788,false
-2.1833684,7.5316534,false
-2.0518711,7.3826600,false
-1.9202595,7.2337140,false
-1.7886627,7.0848284,false
-1.6571113,6.9358938,false
-1.5256233,6.7867797,false
-1.3943628,6.6375164,false
-1.2634431,6.4881169,false
-1.1329162,6.3385538,false
-1.0024560,6.1883426,false
-0.8724655,6.0378277,false
-0.7430107,5.8870243,false
-0.6141077,5.7359498,false
-0.4857148,5.5846670,false
-0.3575028,5.4328720,false
-0.2297750,5.2803583,false
-0.1032346,5.1270018,false
0.0216354,4.9723687,false
0.1443153,4.8160454,false
0.2642298,4.6576196,false
0.3807317,4.4966837,false
0.4930753,4.3328345,false
0.6003880,4.1656777,false
0.7016442,3.9948388,false
0.7956531,3.8199824,false
0.8810723,3.6408380,false
0.9564641,3.4572130,false
1.0203383,3.2691734,false
1.0712571,3.0774018,false
1.1082634,2.8825514,false
1.1308018,2.6854040,false
1.1392319,2.4868272,false
1.1346848,2.2880002,false
1.1179851,2.0898441,false
1.0895439,1.8930281,false
1.0495942,1.6982157,false
0.9982991,1.5060778,false
0.9356755,1.3173436,false
0.8614175,1.1329297,false
0.7745301,0.9542782,false
0.6727699,0.7841049,false
0.5507447,0.6269720,false
0.4045993,0.4913644,false
0.2349323,0.3914751,false
