x_m,y_m,can_overtake
0.4636973,0.1329256,false
0.6545641,0.1935505,true
0.8379324,0.2720338,true
1.0118643,0.3686499,true
1.1746067,0.4834504,true
1.3237187,0.6155567,true
1.4574366,0.7640048,true
1.5731262,0.9264747,true
1.6686656,1.1013327,true
1.7427646,1.2865333,true
1.7952096,1.4790950,true
1.8262482,1.6762776,true
1.8363508,1.8756321,true
1.8265982,2.0749960,true
1.7996323,2.2727780,true
1.7584534,2.4680992,true
1.7050472,2.6604338,true
1.6406467,2.8493697,true
1.5661733,3.0345667,true
1.4823658,3.2157317,true
1.3897840,3.3925734,true
1.2887838,3.5647439,true
1.1795137,3.7317838,true
1.0619504,3.8930880,true
0.9359658,4.0478938,true
0.8013957,4.1952857,true
0.6580993,4.3341877,true
0.5060189,4.4634031,true
0.3452785,4.5816226,true
0.1761598,4.6875181,true
-0.0009037,4.7796933,true
-0.1849076,4.8570469,true
-0.3743232,4.9197099,true
-0.5677217,4.9687913,true
-0.7639097,5.0054371,true
-0.9618926,5.0308284,true
-1.1609382,5.0461137,true
-1.3604902,5.0523677,true
-1.5600125,5.0505960,true
-1.7593433,5.0417479,true
-1.9582947,5.0268790,true
-2.1568160,5.0067030,true
-2.3552457,4.9838888,true
-2.5539966,4.9641993,true
-2.7532768,4.9528883,true
-2.9528528,4.9525488,true
-3.1520901,4.9650178,true
-3.3497991,4.9917185,true
-3.5450173,5.0338507,true
-3.7363681,5.0914921,true
-3.9224291,5.1638375,true
-4.1024522,5.2499154,true
-4.2758575,5.3486404,true
-4.4421492,5.4588369,true
-4.6009473,5.5795677,true
-4.7519532,5.7099956,true
-4.8966447,5.8474529,true
-5.0405621,5.9857110,true
-5.1881001,6.1202140,true
-5.3416341,6.2479461,true
-5.5028805,6.3657780,true
-5.6731742,6.4698552,true
-5.8533389,6.5551291,true
-6.0434445,6.6149133,true
-6.2410651,6.6408522,true
-6.4398920,6.6288325,true
-6.6332150,6.5801455,true
-6.8149693,6.4983508,true
-6.9810216,6.3880540,true
-7.1290412,6.2543695,true
-7.2585275,6.1025104,true
-7.3699030,5.9372031,true
-7.4641910,5.7615191,true
-7.5421444,5.5779237,true
-7.6045148,5.3884016,true
-7.6520989,5.1945978,true
-7.6856624,4.9978692,true
-7.7058486,4.7993150,true
-7.7132509,4.5998512,true
-7.7088584,4.4002890,true
-7.6937018,4.2012447,true
-7.6685776,4.0031832,true
-7.6341123,3.8065054,true
-7.5908014,3.6115629,true
-7.5390360,3.4186874,true
-7.4791186,3.2282022,true
-7.4112702,3.0404344,true
-7.3356310,2.8557262,true
-7.2522423,2.6744236,true
-7.1609873,2.4968119,true
-7.0617691,2.3235111,true
-6.9543586,2.1551788,true
-6.8384291,1.9926296,true
-6.7135673,1.8368906,true
-6.5792983,1.6892444,true
-6.4352400,1.5513211,true
-6.2817535,1.4240423,true
-6.1198688,1.3075240,true
-5.9508453,1.2015061,true
-5.7759467,1.1054127,true
-5.5963256,1.0184550,true
-5.4129655,0.9397330,true
-5.2266650,0.8683163,false
-5.0380538,0.8032972,false
-4.8476225,0.7438154,false
-4.6557522,0.6890665,false
-4.4627387,0.6383068,false
-4.2688073,0.5908486,false
-4.0741332,0.5460505,false
-3.8788329,0.5033002,false
-3.6836972,0.4621560,false
-3.4885336,0.4219892,false
-3.2930754,0.3821713,false
-3.0971083,0.3426532,false
-2.9007909,0.3038545,false
-2.7050823,0.2662855,false
-2.5087214,0.2300305,false
-2.3119066,0.1955054,false
-2.1148807,0.1631364,false
-1.9173882,0.1332389,false
-1.7194016,0.1061587,false
-1.5212140,0.0822768,false
-1.3229204,0.0619424,false
-1.1234563,0.0454329,false
-0.9238485,0.0332633,false
-0.7243279,0.0259078,false
-0.5250634,0.0239271,false
-0.3261442,0.0280376,false
-0.1264304,0.0393095,false
0.0724574,0.0591227,false
0.2696510,0.0894151,false
