x_m,y_m,can_overtake
-0.8209764,0.1230410,false
-0.6813011,0.1156858,true
-0.5414699,0.1098503,true
-0.4014791,0.1054976,true
-0.2613253,0.1025907,true
-0.1210047,0.1010929,true
0.0194862,0.1009673,true
0.1601510,0.1021769,true
0.3009934,0.1046849,true
0.4420170,0.1084544,true
0.5832253,0.1134486,true
0.7246220,0.1196305,true
0.8662106,0.1269633,true
1.0079948,0.1354101,true
1.1499782,0.1449340,true
1.2921644,0.1554981,true
1.4345570,0.1670656,true
1.5771596,0.1795996,true
1.7199758,0.1930632,true
1.8630092,0.2074196,true
2.0062634,0.2226317,true
2.1497421,0.2386629,true
2.2934488,0.2554761,true
2.4373871,0.2730345,true
2.5815607,0.2913013,true
2.7259731,0.3102395,true
2.8706280,0.3298123,true
3.0155278,0.3499881,true
3.1606477,0.3708593,true
3.3059353,0.3926451,true
3.4513368,0.4155703,true
3.5967985,0.4398595,true
3.7422667,0.4657374,true
3.8876876,0.4934288,true
4.0330074,0.5231585,true
4.1781725,0.5551510,true
4.3231292,0.5896313,true
4.4678236,0.6268239,true
4.6122021,0.6669536,true
4.7562109,0.7102452,true
4.8997963,0.7569233,true
5.0428840,0.8072080,true
5.1850095,0.8612279,true
5.3253581,0.9190300,true
5.4631026,0.9806583,true
5.5974160,1.0461570,true
5.7274711,1.1155701,true
5.8524410,1.1889416,true
5.9714984,1.2663156,true
6.0838164,1.3477361,true
6.1885678,1.4332473,true
6.2849256,1.5228931,true
6.3720626,1.6167177,true
6.4491518,1.7147651,true
6.5155492,1.8170224,true
6.5713721,1.9232400,true
6.6169355,2.0331069,true
6.6525543,2.1463119,true
6.6785436,2.2625440,true
6.6952182,2.3814921,true
6.7028933,2.5028452,true
6.7018837,2.6262921,true
6.6925044,2.7515218,true
6.6750704,2.8782232,true
6.6498968,3.0060853,true
6.6172984,3.1347969,true
6.5775902,3.2640470,true
6.5310872,3.3935246,true
6.4781045,3.5229184,true
6.4189569,3.6519175,true
6.3539595,3.7802109,true
6.2834272,3.9074873,true
6.2076750,4.0334357,true
6.1270179,4.1577452,true
6.0417708,4.2801045,true
5.9522488,4.4002026,true
5.8587668,4.5177284,true
5.7616398,4.6323710,true
5.6611827,4.7438191,true
5.5577106,4.8517617,true
5.4515342,4.9558946,true
5.3428629,5.0560783,true
5.2318024,5.1523414,true
5.1184539,5.2447203,true
5.0029185,5.3332513,true
4.8852972,5.4179708,true
4.7656912,5.4989151,true
4.6442015,5.5761205,true
4.5209293,5.6496234,true
4.3959756,5.7194601,true
4.2694416,5.7856670,true
4.1414283,5.8482803,true
4.0120368,5.9073364,true
3.8813682,5.9628718,true
3.7495236,6.0149225,true
3.6166042,6.0635252,true
3.4827110,6.1087159,true
3.3479451,6.1505312,true
3.2124076,6.1890073,true
3.0761996,6.2241806,true
2.9394222,6.2560874,true
2.8021764,6.2847641,true
2.6645635,6.3102469,true
2.5266844,6.3325722,true
2.3886404,6.3517764,true
2.2505323,6.3678958,true
2.1124615,6.3809667,true
1.9745289,6.3910255,true
1.8368357,6.3981084,true
1.6994830,6.4022519,true
1.5625718,6.4034923,true
1.4262032,6.4018659,true
1.2904784,6.3974090,true
1.1554953,6.3901601,true
1.0212804,6.3802057,true
0.8877894,6.3676796,true
0.7549750,6.3527180,true
0.6227899,6.3354569,true
0.4911867,6.3160322,true
0.3601182,6.2945801,true
0.2295371,6.2712364,true
0.0993960,6.2461373,true
-0.0303524,6.2194187,true
-0.1597553,6.1912167,true
