x_m,y_m,can_overtake
-6.7322365,4.4220446,false
-6.5599307,4.4055436,false
-6.3884275,4.3978610,false
-6.2178836,4.3987708,false
-6.0484554,4.4080467,false
-5.8802995,4.4254627,false
-5.7135725,4.4507927,false
-5.5484309,4.4838106,false
-5.3850313,4.5242902,false
-5.2235303,4.5720055,false
-5.0640844,4.6267304,false
-4.9068502,4.6882388,false
-4.7519842,4.7563045,false
-4.5996430,4.8307014,false
-4.4499832,4.9112036,false
-4.3031613,4.9975847,false
-4.1593338,5.0896188,false
-4.0186574,5.1870798,false
-3.8812886,5.2897414,false
-3.7473839,5.3973777,false
-3.6171000,5.5097626,false
-3.4905933,5.6266698,false
-3.3680204,5.7478734,false
-3.2495379,5.8731471,false
-3.1353024,6.0022650,false
-3.0254346,6.1350054,false
-2.9198450,6.2711729,false
-2.8183670,6.4105820,false
-2.7208342,6.5530470,false
-2.6270800,6.6983822,false
-2.5369380,6.8464019,true
-2.4502415,6.9969206,true
-2.3668240,7.1497526,true
-2.2865191,7.3047121,true
-2.2091602,7.4616137,true
-2.1345808,7.6202715,true
-2.0626143,7.7804999,true
-1.9930942,7.9421134,true
-1.9258540,8.1049262,true
-1.8607272,8.2687527,true
-1.7975472,8.4334072,true
-1.7361475,8.5987041,true
-1.6763616,8.7644578,true
-1.6180230,8.9304825,true
-1.5609651,9.0965926,true
-1.5050214,9.2626025,true
-1.4500254,9.4283265,true
-1.3958105,9.5935789,true
-1.3422377,9.7582085,true
-1.2893228,9.9222564,true
-1.2371353,10.0858313,true
-1.1857451,10.2490421,true
-1.1352220,10.4119973,true
-1.0856358,10.5748058,true
-1.0370561,10.7375763,true
-0.9895529,10.9004175,true
-0.9431958,11.0634382,true
-0.8980547,11.2267470,true
-0.8541993,11.3904527,true
-0.8116994,11.5546641,true
-0.7706248,11.7194898,true
-0.7310453,11.8850387,true
-0.6930305,12.0514194,true
-0.6566504,12.2187406,true
-0.6219747,12.3871112,true
-0.5890732,12.5566398,true
-0.5580156,12.7274351,true
-0.5288717,12.8996060,true
-0.5017113,13.0732611,true
-0.4766042,13.2485091,true
-0.4536201,13.4254589,true
-0.4329477,13.6041268,true
-0.4154103,13.7840361,true
-0.4020424,13.9645464,true
-0.3938787,14.1450167,true
-0.3919538,14.3248064,true
-0.3973025,14.5032747,true
-0.4109592,14.6797808,true
-0.4339588,14.8536841,true
-0.4673358,15.0243437,true
-0.5121248,15.1911189,true
-0.5693607,15.3533689,true
-0.6400508,15.5104403,true
-0.7242106,15.6612131,true
-0.8206016,15.8039781,true
-0.9279049,15.9369879,true
-1.0448015,16.0584955,true
-1.1699724,16.1667537,true
-1.3020989,16.2600153,true
-1.4398618,16.3365331,true
-1.5819424,16.3945600,true
-1.7270216,16.4323487,true
-1.8737806,16.4481522,true
-2.0209004,16.4402233,true
-2.1671303,16.4073526,true
-2.3115525,16.3509502,false
-2.4533503,16.2732226,false
-2.5917067,16.1763764,false
-2.7258051,16.0626182,false
-2.8548288,15.9341546,false
-2.9779609,15.7931921,false
-3.0943847,15.6419375,false
-3.2032834,15.4825972,false
-3.3038403,15.3173779,false
-3.3952387,15.1484862,false
-3.4766617,14.9781286,false
-3.5473021,14.8085001,false
-3.6070898,14.6408862,false
-3.6572036,14.4750310,false
-3.6989439,14.3105292,false
-3.7336107,14.1469756,false
-3.7625040,13.9839649,false
-3.7869242,13.8210918,false
-3.8081712,13.6579511,false
-3.8275452,13.4941376,false
-3.8463464,13.3292460,false
-3.8658748,13.1628710,false
-3.8874305,12.9946074,false
-3.9121667,12.8241334,false
-3.9401693,12.6517322,false
-3.9710542,12.4779540,false
-4.0044350,12.3033501,false
-4.0399253,12.1284717,false
-4.0771389,11.9538701,false
-4.1156894,11.7800965,false
-4.1551906,11.6077023,false
-4.1952559,11.4372387,false
-4.2354993,11.2692570,false
-4.2755342,11.1043084,false
-4.3149805,10.9429433,false
-4.3538828,10.7856510,false
-4.3929834,10.6328202,false
-4.4330892,10.4848303,false
-4.4750072,10.3420607,false
-4.5195445,10.2048910,false
-4.5675079,10.0737004,false
-4.6197179,9.9488748,false
-4.6775393,9.8310572,false
-4.7430558,9.7212307,false
-4.8183987,9.6204015,false
-4.9052985,9.5295698,false
-5.0045786,9.4497215,false
-5.1169340,9.3818375,false
-5.2424051,9.3263509,false
-5.3796503,9.2825382,false
-5.5271525,9.2495290,false
-5.6833944,9.2264527,false
-5.8468590,9.2124389,false
-6.0160290,9.2066172,false
-6.1893872,9.2081170,false
-6.3654166,9.2160680,false
-6.5425999,9.2295997,false
-6.7194200,9.2478415,false
-6.8946098,9.2697471,false
-7.0679538,9.2935300,false
-7.2395131,9.3172091,false
-7.4093485,9.3388035,false
-7.5775208,9.3563323,false
-7.7440910,9.3678146,false
-7.9091200,9.3712694,false
-8.0726686,9.3647157,true
-8.2347977,9.3461726,true
-8.3955682,9.3136591,true
-8.5550411,9.2651944,true
-8.7132732,9.1988042,true
-8.8695724,9.1138018,true
-9.0216205,9.0122947,true
-9.1668861,8.8967570,true
-9.3028378,8.7696628,true
-9.4269441,8.6334861,true
-9.5367220,8.4906714,true
-9.6310106,8.3428555,true
-9.7101002,8.1907890,true
-9.7743549,8.0351769,true
-9.8241391,7.8767245,true
-9.8598171,7.7161369,true
-9.8817530,7.5541194,true
-9.8903111,7.3913771,true
-9.8858557,7.2286152,true
-9.8687512,7.0665390,true
-9.8393616,6.9058535,true
-9.7980514,6.7472639,true
-9.7452109,6.5914073,true
-9.6813414,6.4386312,true
-9.6069737,6.2892069,true
-9.5226384,6.1434052,true
-9.4288663,6.0014975,true
-9.3261879,5.8637546,true
-9.2151340,5.7304478,true
-9.0962352,5.6018481,true
-8.9700223,5.4782265,true
-8.8370258,5.3598543,false
-8.6977766,5.2470024,false
-8.5528053,5.1399420,false
-8.4026426,5.0389441,false
-8.2478191,4.9442799,false
-8.0888655,4.8562204,false
-7.9263125,4.7750367,false
-7.7606909,4.7009998,false
-7.5925312,4.6343810,false
-7.4223642,4.5754512,false
-7.2507205,4.5244816,false
-7.0781309,4.4817433,false
-6.9051260,4.4475072,false
