x_m,y_m,can_overtake
-6.7195282,4.4253237,true
-6.6462032,4.4172595,true
-6.5731028,4.4107430,true
-6.5002361,4.4057580,true
-6.4276124,4.4022883,true
-6.3552406,4.4003179,true
-6.2831300,4.3998305,true
-6.2112897,4.4008100,true
-6.1397288,4.4032404,true
-6.0684566,4.4071054,true
-5.9974820,4.4123890,true
-5.9268144,4.4190750,true
-5.8564628,4.4271472,true
-5.7864364,4.4365896,true
-5.7167442,4.4473861,true
-5.6473956,4.4595203,true
-5.5783995,4.4729764,true
-5.5097652,4.4877380,true
-5.4415017,4.5037891,true
-5.3736183,4.5211135,true
-5.3061241,4.5396952,true
-5.2390281,4.5595179,true
-5.1723397,4.5805655,true
-5.1060678,4.6028220,true
-5.0402217,4.6262711,true
-4.9748105,4.6508968,true
-4.9098433,4.6766829,true
-4.8453293,4.7036132,true
-4.7812776,4.7316717,true
-4.7176974,4.7608422,true
-4.6545978,4.7911085,true
-4.5919879,4.8224546,true
-4.5298769,4.8548643,true
-4.4682740,4.8883215,true
-4.4071883,4.9228100,true
-4.3466288,4.9583137,true
-4.2866049,4.9948164,true
-4.2271255,5.0323021,true
-4.1682000,5.0707546,true
-4.1098373,5.1101578,true
-4.0520466,5.1504954,true
-3.9948372,5.1917515,true
-3.9382180,5.2339099,true
-3.8821984,5.2769544,true
-3.8267874,5.3208689,true
-3.7719941,5.3656372,true
-3.7178277,5.4112433,true
-3.6642974,5.4576710,true
-3.6114123,5.5049041,true
-3.5591815,5.5529266,true
-3.5076141,5.6017223,true
-3.4567194,5.6512750,true
-3.4065065,5.7015686,true
-3.3569845,5.7525871,true
-3.3081625,5.8043142,true
-3.2600497,5.8567339,true
-3.2126553,5.9098299,true
-3.1659883,5.9635862,true
-3.1200580,6.0179866,true
-3.0748715,6.0730153,true
-3.0304226,6.1286578,true
-2.9866988,6.1849005,true
-2.9436876,6.2417299,true
-2.9013767,6.2991323,true
-2.8597536,6.3570941,true
-2.8188058,6.4156016,true
-2.7785209,6.4746412,true
-2.7388865,6.5341993,true
-2.6998902,6.5942623,true
-2.6615195,6.6548165,true
-2.6237619,6.7158483,true
-2.5866051,6.7773441,true
-2.5500366,6.8392902,true
-2.5140439,6.9016731,true
-2.4786147,6.9644791,true
-2.4437364,7.0276946,true
-2.4093968,7.0913059,true
-2.3755832,7.1552994,true
-2.3422833,7.2196615,true
-2.3094847,7.2843786,true
-2.2771748,7.3494370,true
-2.2453414,7.4148231,true
-2.2139718,7.4805233,true
-2.1830538,7.5465240,true
-2.1525749,7.6128115,true
-2.1225225,7.6793722,true
-2.0928844,7.7461925,true
-2.0636480,7.8132587,true
-2.0348009,7.8805573,true
-2.0063307,7.9480746,true
-1.9782249,8.0157969,true
-1.9504712,8.0837106,true
-1.9230570,8.1518022,true
-1.8959699,8.2200580,true
-1.8691976,8.2884643,true
-1.8427275,8.3570076,true
-1.8165472,8.4256742,true
-1.7906443,8.4944504,true
-1.7650064,8.5633227,true
-1.7396210,8.6322775,true
-1.7144757,8.7013010,true
-1.6895580,8.7703797,true
-1.6648555,8.8395000,true
-1.6403557,8.9086482,true
-1.6160463,8.9778106,true
-1.5919148,9.0469738,true
-1.5679488,9.1161239,true
-1.5441358,9.1852475,true
-1.5204634,9.2543309,true
-1.4969191,9.3233604,true
-1.4734905,9.3923225,true
-1.4501652,9.4612034,true
-1.4269308,9.5299897,true
-1.4037747,9.5986676,true
-1.3806846,9.6672235,true
-1.3576481,9.7356438,true
-1.3346526,9.8039149,true
-1.3116866,9.8720239,true
-1.2887500,9.9399715,true
-1.2658520,10.0077682,true
-1.2430021,10.0754252,true
-1.2202096,10.1429535,true
-1.1974838,10.2103641,true
-1.1748343,10.2776681,true
-1.1522705,10.3448764,true
-1.1298016,10.4120002,true
-1.1074372,10.4790504,true
-1.0851867,10.5460381,true
-1.0630593,10.6129743,true
-1.0410646,10.6798701,true
-1.0192120,10.7467365,true
-0.9975108,10.8135845,true
-0.9759704,10.8804251,true
-0.9546003,10.9472695,true
-0.9334098,11.0141286,true
-0.9124084,11.0810134,true
-0.8916054,11.1479350,true
-0.8710104,11.2149044,true
-0.8506325,11.2819327,true
-0.8304814,11.3490309,true
-0.8105663,11.4162101,true
-0.7908966,11.4834812,true
-0.7714819,11.5508553,true
-0.7523314,11.6183434,true
-0.7334546,11.6859565,true
-0.7148609,11.7537058,true
-0.6965597,11.8216022,true
-0.6785603,11.8896568,true
-0.6608723,11.9578806,true
-0.6435049,12.0262846,true
-0.6264677,12.0948799,true
-0.6097699,12.1636774,true
-0.5934210,12.2326884,true
-0.5774305,12.3019236,true
-0.5618076,12.3713943,true
-0.5465618,12.4411114,true
-0.5317026,12.5110860,true
-0.5172393,12.5813291,true
-0.5031813,12.6518518,true
-0.4895380,12.7226650,true
-0.4763188,12.7937798,true
-0.4635331,12.8652072,true
-0.4511904,12.9369584,true
-0.4393000,13.0090442,true
-0.4278714,13.0814758,true
-0.4169138,13.1542641,true
-0.4064369,13.2274203,true
-0.3964498,13.3009553,true
-0.3869621,13.3748802,true
-0.3779831,13.4492060,true
-0.3695223,13.5239437,true
-0.3615891,13.5991044,true
-0.3541927,13.6746992,true
-0.3473428,13.7507390,true
-0.3410486,13.8272348,true
-0.3353203,13.9041966,true
-0.3301977,13.9815861,true
-0.3257600,14.0593008,true
-0.3220892,14.1372342,true
-0.3192673,14.2152795,true
-0.3173763,14.2933299,true
-0.3164980,14.3712787,true
-0.3167145,14.4490193,true
-0.3181078,14.5264448,true
-0.3207599,14.6034486,true
-0.3247526,14.6799240,true
-0.3301679,14.7557641,true
-0.3370879,14.8308624,true
-0.3455945,14.9051120,true
-0.3557697,14.9784062,true
-0.3676954,15.0506383,true
-0.3814536,15.1217017,true
-0.3971263,15.1914895,true
-0.4147954,15.2598950,true
-0.4345430,15.3268115,true
-0.4564509,15.3921323,true
-0.4806012,15.4557507,true
-0.5070759,15.5175599,true
-0.5359568,15.5774533,true
-0.5673260,15.6353240,true
-0.6012654,15.6910654,true
-0.6378570,15.7445707,true
-0.6771828,15.7957332,true
-0.7193109,15.8444431,true
-0.7641499,15.8905538,true
-0.8115063,15.9338954,true
-0.8611847,15.9742976,true
-0.9129898,16.0115902,true
-0.9667265,16.0456027,true
-1.0221994,16.0761651,true
-1.0792132,16.1031068,true
-1.1375728,16.1262577,true
